gesture,[0],[7],[8],[12],[14],[16],[23],[24]
0.0,"0.46902480721473694,0.48353713750839233,-0.26377159357070923","0.5313268303871155,0.4987420439720154,-0.08032821863889694","0.43667301535606384,0.4862636923789978,-0.029326418414711952","0.3719122111797333,0.7551831007003784,-0.04652411863207817","0.32520002126693726,0.9109737873077393,-0.4303150773048401","0.4340168833732605,0.6244430541992188,-0.8549419641494751","0.5918757915496826,1.4237276315689087,0.010059259831905365","0.41870346665382385,1.4183673858642578,-0.010636691004037857"
0.0,"0.46955665946006775,0.48393571376800537,-0.26387184858322144","0.5313137769699097,0.5000914931297302,-0.07090732455253601","0.43665486574172974,0.48983436822891235,-0.03745882585644722","0.37233424186706543,0.7553066611289978,-0.0494757778942585","0.32586026191711426,0.910976231098175,-0.43207550048828125","0.43296846747398376,0.6322838664054871,-0.8644670248031616","0.5919075608253479,1.421265721321106,0.007979283109307289","0.41871339082717896,1.4155339002609253,-0.008560733869671822"
0.0,"0.4697127342224121,0.49584469199180603,-0.25699496269226074","0.5315069556236267,0.5019449591636658,-0.058405596762895584","0.4366665780544281,0.5016394853591919,-0.012105594389140606","0.37601250410079956,0.754754364490509,-0.02012639492750168","0.3247895836830139,0.9119446873664856,-0.42454594373703003","0.4321223199367523,0.6320967078208923,-0.8830606341362","0.5921048521995544,1.421557068824768,0.0015661884099245071","0.4195724129676819,1.4157776832580566,-0.0021309214644134045"
0.0,"0.470090389251709,0.4966740608215332,-0.24700209498405457","0.5314954519271851,0.5018571019172668,-0.05648023635149002","0.43669062852859497,0.5018864870071411,-0.013082010671496391","0.3787655234336853,0.750665545463562,-0.024473363533616066","0.3247690796852112,0.9122903347015381,-0.39466848969459534","0.4316495358943939,0.6318187117576599,-0.8029372096061707","0.5925036668777466,1.418898344039917,0.002318259095773101","0.4203016757965088,1.4108213186264038,-0.0028791571967303753"
0.0,"0.47064924240112305,0.4964219331741333,-0.22212740778923035","0.5320008397102356,0.5013060569763184,-0.031220804899930954","0.4368782639503479,0.5013610124588013,0.009841123595833778","0.3791928291320801,0.748151421546936,-0.011150402948260307","0.3244912028312683,0.9119049310684204,-0.39895614981651306","0.4354100823402405,0.626163125038147,-0.80890291929245","0.5926178097724915,1.4180762767791748,0.002851142082363367","0.42035993933677673,1.410251498222351,-0.0034092850983142853"
0.0,"0.47661668062210083,0.49692070484161377,-0.23613333702087402","0.5335105657577515,0.5013667345046997,-0.03603528067469597","0.43752938508987427,0.5006595849990845,-0.003909879829734564","0.38149088621139526,0.7455102801322937,-0.021616853773593903","0.32500550150871277,0.9052931070327759,-0.4119826853275299","0.4393885135650635,0.6259135007858276,-0.8262027502059937","0.5926907062530518,1.4148097038269043,0.003113827668130398","0.42075151205062866,1.4067704677581787,-0.0036621156614273787"
0.0,"0.47882285714149475,0.4968918561935425,-0.24277189373970032","0.5341206789016724,0.5013129115104675,-0.03501971438527107","0.4378027021884918,0.5003896951675415,-0.00524891959503293","0.38153594732284546,0.74580317735672,-0.019654851406812668","0.32760679721832275,0.9019903540611267,-0.40863776206970215","0.44431549310684204,0.6258824467658997,-0.8253988027572632","0.5922988057136536,1.4148656129837036,0.0032027908600866795","0.4196874499320984,1.4060914516448975,-0.00375805189833045"
0.0,"0.48043447732925415,0.4944794476032257,-0.21633467078208923","0.5351864695549011,0.5008165836334229,-0.015154989436268806","0.437746524810791,0.4975256323814392,0.0029800483025610447","0.3787163496017456,0.7454845905303955,-0.02327399142086506","0.3313285708427429,0.9021564722061157,-0.3976941406726837","0.44570493698120117,0.6233754754066467,-0.7761293053627014","0.5905870199203491,1.4173983335494995,0.008110503666102886","0.4157324433326721,1.4086114168167114,-0.008683981373906136"
0.0,"0.48032110929489136,0.49429890513420105,-0.21585504710674286","0.5351884961128235,0.50074303150177,-0.023832939565181732","0.43767228722572327,0.497665673494339,-0.0026508248411118984","0.37855273485183716,0.7473722100257874,-0.035961564630270004","0.33293184638023376,0.9007483720779419,-0.4062325358390808","0.4452337324619293,0.6211629509925842,-0.7972711324691772","0.5899713635444641,1.4203687906265259,0.01061182375997305","0.4157479703426361,1.4126365184783936,-0.011209383606910706"
0.0,"0.4803107678890228,0.511587917804718,-0.21857067942619324","0.5350580215454102,0.5043453574180603,-0.020161157473921776","0.4384554326534271,0.5151135325431824,-0.0054596043191850185","0.3838786780834198,0.7482456564903259,-0.050792258232831955","0.33285418152809143,0.8982656002044678,-0.4579503536224365","0.4446867108345032,0.6207727789878845,-0.9258168935775757","0.5935511589050293,1.4203851222991943,0.016876215115189552","0.4219408631324768,1.4131964445114136,-0.0176117904484272"
