gesture,[0],[7],[8],[11],[13],[15],[23],[23]
0.0,"0.5131880044937134,0.3733002245426178,-0.36328044533729553","0.5402897596359253,0.3544042706489563,-0.09763847291469574","0.445455402135849,0.33839619159698486,-0.15769226849079132","0.6331933736801147,0.681164026260376,-0.10123246908187866","0.7878122925758362,0.8652956485748291,-0.48826855421066284","0.5366505980491638,0.5013461112976074,-0.7610079050064087","0.6006795763969421,1.4643919467926025,0.032705701887607574","0.6006795763969421,1.4643919467926025,0.032705701887607574"
0.0,"0.511675238609314,0.38146278262138367,-0.40969666838645935","0.5427072048187256,0.3632546663284302,-0.12892255187034607","0.4454028606414795,0.3385789692401886,-0.1805541217327118","0.6352552771568298,0.6820160150527954,-0.1051238402724266","0.8077569007873535,0.833739161491394,-0.5056607723236084","0.5357531905174255,0.4846501350402832,-0.6793192625045776","0.6031984090805054,1.4644368886947632,0.030983399599790573","0.6031984090805054,1.4644368886947632,0.030983399599790573"
0.0,"0.5150893926620483,0.3920608162879944,-0.29374581575393677","0.5432223081588745,0.37419843673706055,-0.043957777321338654","0.44837847352027893,0.33907759189605713,-0.11046560108661652","0.6344848871231079,0.6846562027931213,-0.0162368081510067","0.8179464340209961,0.7860479354858398,-0.18732950091362","0.534575879573822,0.4723316729068756,-0.10744808614253998","0.6033033728599548,1.4648120403289795,0.04071279242634773","0.6033033728599548,1.4648120403289795,0.04071279242634773"
0.0,"0.5143634676933289,0.39108577370643616,-0.30084460973739624","0.5435787439346313,0.37438634037971497,-0.0956612229347229","0.4483226239681244,0.33940184116363525,-0.12605072557926178","0.6347606182098389,0.6843479871749878,-0.05234655737876892","0.8219476938247681,0.7306190729141235,-0.34891852736473083","0.5369479656219482,0.4715666174888611,-0.3515087068080902","0.606808602809906,1.4646598100662231,0.03971508890390396","0.606808602809906,1.4646598100662231,0.03971508890390396"
0.0,"0.5138762593269348,0.39267346262931824,-0.3426801562309265","0.5443464517593384,0.37587106227874756,-0.10801367461681366","0.4486345648765564,0.33991751074790955,-0.15718020498752594","0.6354491114616394,0.6842870116233826,-0.0841967910528183","0.8245561718940735,0.6995021104812622,-0.28376874327659607","0.5389305949211121,0.4658542275428772,-0.19042600691318512","0.6101164221763611,1.4652600288391113,0.04301406815648079","0.6101164221763611,1.4652600288391113,0.04301406815648079"
0.0,"0.517338752746582,0.37732717394828796,-0.32514193654060364","0.5433745980262756,0.368988037109375,-0.06869210302829742","0.44992369413375854,0.33909323811531067,-0.13602592051029205","0.6355541944503784,0.68000328540802,-0.05382590740919113","0.8318980932235718,0.6924687623977661,-0.312529057264328","0.5419427752494812,0.45988205075263977,-0.3158515989780426","0.6128840446472168,1.4623922109603882,0.04525991156697273","0.6128840446472168,1.4623922109603882,0.04525991156697273"
0.0,"0.5171502828598022,0.3502027094364166,-0.2633553147315979","0.5392784476280212,0.3562643826007843,-0.021699564531445503","0.45128387212753296,0.33611342310905457,-0.08468188345432281","0.6367080211639404,0.677964448928833,-0.011794909834861755","0.8350399732589722,0.6485899686813354,-0.26393580436706543","0.5443716645240784,0.4491063356399536,-0.2572758197784424","0.6178147792816162,1.4557756185531616,0.05078188702464104","0.6178147792816162,1.4557756185531616,0.05078188702464104"
0.0,"0.5137239098548889,0.3533174693584442,-0.29346778988838196","0.5389365553855896,0.3569023907184601,-0.0386979803442955","0.4510313868522644,0.337234228849411,-0.07941083610057831","0.6388452649116516,0.6801687479019165,-0.017754876986145973","0.8362070918083191,0.6261651515960693,-0.2444077730178833","0.5493476986885071,0.4479601979255676,-0.17266640067100525","0.6192928552627563,1.456889033317566,0.049075283110141754","0.6192928552627563,1.456889033317566,0.049075283110141754"
0.0,"0.5134859681129456,0.3512585759162903,-0.36538177728652954","0.5378636121749878,0.3551115393638611,-0.07731582224369049","0.45095378160476685,0.3374403417110443,-0.10444962978363037","0.6399227380752563,0.6811800599098206,-0.056745946407318115","0.8406513333320618,0.6063838005065918,-0.43443816900253296","0.5533495545387268,0.4483065605163574,-0.5393430590629578","0.61897873878479,1.456813097000122,0.0489589162170887","0.61897873878479,1.456813097000122,0.0489589162170887"
0.0,"0.5125864148139954,0.33218541741371155,-0.3765743374824524","0.536645233631134,0.3497128486633301,-0.08697862923145294","0.4508659243583679,0.3375109136104584,-0.11411522328853607","0.6440860629081726,0.6812102198600769,-0.05854558199644089","0.8435992002487183,0.5768477320671082,-0.42898792028427124","0.55674809217453,0.4487718343734741,-0.5147706270217896","0.6205810904502869,1.457188367843628,0.048210762441158295","0.6205810904502869,1.457188367843628,0.048210762441158295"
