az,el,[0],[7],[8],[12],[14],[16],[23],[24]
-0.5,0.0,"0.4529639184474945,0.4092456102371216,-0.30532485246658325","0.4979746341705322,0.3759975731372833,-0.02845337986946106","0.4051687717437744,0.3916882872581482,-0.114484503865242","0.37947043776512146,0.5577133893966675,-0.20404867827892303","0.5292384028434753,0.5751194357872009,-0.5282571911811829","0.7250831127166748,0.4251493811607361,-0.8115351796150208","0.521499752998352,1.1457602977752686,0.06714539229869843","0.3824169635772705,1.1304930448532104,-0.06755490601062775"
-0.5,0.0,"0.4524785578250885,0.4091654121875763,-0.3396879732608795","0.49763551354408264,0.3759600818157196,-0.059554338455200195","0.4051690697669983,0.391554057598114,-0.14665958285331726","0.3794369399547577,0.5572207570075989,-0.23476377129554749","0.5289666652679443,0.5790669918060303,-0.5670661926269531","0.7251259088516235,0.43700969219207764,-0.8430591821670532","0.520537257194519,1.1482478380203247,0.0670478492975235","0.3820193409919739,1.13155198097229,-0.06747374683618546"
-0.5,0.0,"0.45173102617263794,0.40953779220581055,-0.4369935989379883","0.49709552526474,0.37593257427215576,-0.1586296707391739","0.4051423668861389,0.3912804126739502,-0.23862755298614502","0.379192978143692,0.5564466714859009,-0.30297619104385376","0.5288832783699036,0.5791844725608826,-0.6392622590065002","0.7250630855560303,0.4515173137187958,-0.9064100980758667","0.5169073939323425,1.145245909690857,0.06694662570953369","0.38143545389175415,1.129045844078064,-0.06740578263998032"
-0.5,0.0,"0.45175227522850037,0.40943530201911926,-0.429351806640625","0.49711155891418457,0.3748151659965515,-0.16250763833522797","0.40510717034339905,0.3892800509929657,-0.2359551191329956","0.3786015510559082,0.554699718952179,-0.3056914806365967","0.5251238942146301,0.5794832110404968,-0.6433317065238953","0.7236694693565369,0.46344131231307983,-0.8956421613693237","0.5146983861923218,1.1400160789489746,0.06809069216251373","0.3910369277000427,1.057427167892456,-0.06858520954847336"
-0.5,0.0,"0.45183712244033813,0.40766096115112305,-0.4218621253967285","0.49712738394737244,0.37430211901664734,-0.15809480845928192","0.40508633852005005,0.3872179687023163,-0.2313564121723175","0.37863194942474365,0.554261326789856,-0.2923186421394348","0.5215200185775757,0.5794702768325806,-0.6297640800476074","0.7234605550765991,0.4743363559246063,-0.898235023021698","0.5151754021644592,1.1479705572128296,0.058990754187107086","0.39055806398391724,1.1038469076156616,-0.05953352525830269"
-0.5,0.0,"0.4518531858921051,0.4086241126060486,-0.4196228086948395","0.49711519479751587,0.37431052327156067,-0.1584392786026001","0.40526866912841797,0.3875543773174286,-0.22746841609477997","0.37856268882751465,0.5547017455101013,-0.29005980491638184","0.5197964310646057,0.5810595750808716,-0.6254790425300598","0.7234801054000854,0.48397111892700195,-0.905312716960907","0.515710175037384,1.1555298566818237,0.05860387161374092","0.39451494812965393,1.0702855587005615,-0.05915498733520508"
-0.5,0.0,"0.4516655504703522,0.40904203057289124,-0.4186524748802185","0.4971243739128113,0.3748323321342468,-0.17367997765541077","0.40529322624206543,0.38779687881469727,-0.22437253594398499","0.3786788284778595,0.5542189478874207,-0.28463229537010193","0.5199957489967346,0.581080436706543,-0.6226390600204468","0.7236199975013733,0.4862866699695587,-0.899255633354187","0.5164257287979126,1.1555466651916504,0.05468162149190903","0.39764395356178284,1.0521773099899292,-0.055229343473911285"
-0.5,0.0,"0.4516729712486267,0.40932849049568176,-0.3773987591266632","0.4973326325416565,0.3756072223186493,-0.11399034410715103","0.4053078293800354,0.387777715921402,-0.17407789826393127","0.3787318170070648,0.5536445379257202,-0.2402837574481964","0.5197904706001282,0.5814990401268005,-0.5748593211174011","0.7223824262619019,0.48339590430259705,-0.8530820608139038","0.5159186124801636,1.157287836074829,0.05507510155439377","0.39166346192359924,1.1039886474609375,-0.05566393584012985"
-0.5,0.0,"0.45168179273605347,0.4101482927799225,-0.20902004837989807","0.4974115490913391,0.3775540292263031,0.08035026490688324","0.40531501173973083,0.3874363303184509,0.004031048156321049","0.3787294626235962,0.5536489486694336,-0.08914835751056671","0.5232072472572327,0.581554114818573,-0.3933756947517395","0.7224006056785583,0.47331148386001587,-0.6699612140655518","0.5159434676170349,1.1608692407608032,0.05556540563702583","0.3823933005332947,1.1275302171707153,-0.05608072876930237"
-0.5,0.0,"0.45170146226882935,0.41028082370758057,-0.2780306935310364","0.49734219908714294,0.3776259124279022,-0.019114643335342407","0.40529775619506836,0.3871147930622101,-0.08788195252418518","0.3781406283378601,0.5516299605369568,-0.1281723976135254","0.5309399366378784,0.576594889163971,-0.485240638256073","0.7224264740943909,0.4475938081741333,-0.6978291273117065","0.5141957998275757,1.1591612100601196,0.06779507547616959","0.38172072172164917,1.1283468008041382,-0.06818658113479614"
