az,el,[0],[7],[8],[11],[13],[15],[23],[23]
-0.25,0.0,"0.2674069404602051,0.25593996047973633,-0.3075528144836426","0.3142768442630768,0.24465516209602356,0.14871110022068024","0.19577856361865997,0.23862408101558685,0.0827401727437973","0.40801891684532166,0.6036604642868042,0.22199396789073944","0.6068648099899292,0.5893971920013428,-0.12381274998188019","0.8481386303901672,0.47941869497299194,-0.8917322158813477","0.36397069692611694,1.4756791591644287,0.05271727591753006","0.36397069692611694,1.4756791591644287,0.05271727591753006"
-0.25,0.0,"0.26306939125061035,0.2553873658180237,-0.31948354840278625","0.3126940131187439,0.24601760506629944,0.13541801273822784","0.1928308606147766,0.23817408084869385,0.053816914558410645","0.40737462043762207,0.6040200591087341,0.21830610930919647","0.6061496138572693,0.5870398879051208,-0.1590718775987625","0.8460419774055481,0.4739612638950348,-0.9143470525741577","0.36401253938674927,1.4766533374786377,0.0653524175286293","0.36401253938674927,1.4766533374786377,0.0653524175286293"
-0.25,0.0,"0.2613440155982971,0.2553391456604004,-0.40334001183509827","0.31155529618263245,0.24662239849567413,0.03389225900173187","0.19136841595172882,0.23816411197185516,-0.01075050700455904","0.40737754106521606,0.6047037839889526,0.10094758123159409","0.6079939603805542,0.5843200087547302,-0.24070999026298523","0.8473013043403625,0.47509765625,-0.9698489904403687","0.3643692135810852,1.4834085702896118,0.05363570526242256","0.3643692135810852,1.4834085702896118,0.05363570526242256"
-0.25,0.0,"0.2608347237110138,0.25548696517944336,-0.43026047945022583","0.3111806809902191,0.24642997980117798,0.0005356283509172499","0.19025829434394836,0.23806914687156677,-0.0649569183588028","0.40737929940223694,0.6060404181480408,0.0822322815656662","0.6221603751182556,0.5780660510063171,-0.3100492060184479","0.8512555360794067,0.4706570506095886,-1.0875364542007446","0.3643396198749542,1.4939848184585571,0.05597420781850815","0.3643396198749542,1.4939848184585571,0.05597420781850815"
-0.25,0.0,"0.2595558762550354,0.25537899136543274,-0.42312321066856384","0.30942007899284363,0.24588234722614288,0.012194219045341015","0.18931487202644348,0.23783884942531586,-0.04419826343655586","0.4074571132659912,0.6028140783309937,0.07359402626752853","0.6201298832893372,0.5784032344818115,-0.2672586739063263","0.8515617251396179,0.47174444794654846,-1.014044165611267","0.3636203408241272,1.4930243492126465,0.021548451855778694","0.3636203408241272,1.4930243492126465,0.021548451855778694"
-0.25,0.0,"0.25882232189178467,0.25526487827301025,-0.30644291639328003","0.3080065846443176,0.24552291631698608,0.13970205187797546","0.18837487697601318,0.23760530352592468,0.06957022845745087","0.4065924286842346,0.5950050950050354,0.20276811718940735","0.6143766045570374,0.5795387029647827,-0.04307932406663895","0.8503460884094238,0.473224014043808,-0.6934916377067566","0.36412903666496277,1.485438346862793,0.028130244463682175","0.36412903666496277,1.485438346862793,0.028130244463682175"
-0.25,0.0,"0.2589114308357239,0.25517892837524414,-0.4080783724784851","0.307839959859848,0.2451726347208023,0.01947704143822193","0.1880984753370285,0.23742970824241638,-0.030128303915262222","0.40659505128860474,0.5951104760169983,0.09771399945020676","0.6131095290184021,0.5789781808853149,-0.17654740810394287","0.8503087759017944,0.4741567075252533,-0.8502467274665833","0.3638725280761719,1.4883254766464233,0.03413959965109825","0.3638725280761719,1.4883254766464233,0.03413959965109825"
0.0,0.0,"0.343797892332077,0.24682211875915527,-0.10307829082012177","0.37117430567741394,0.2237035483121872,0.34646230936050415","0.25442737340927124,0.23260293900966644,0.046772245317697525","0.4154636859893799,0.5671502947807312,0.49199333786964417","0.5381084680557251,0.6143401861190796,-0.09690938889980316","0.6204618811607361,0.47015708684921265,-1.0234266519546509","0.4250431954860687,1.4549403190612793,0.21582071483135223","0.4250431954860687,1.4549403190612793,0.21582071483135223"
0.0,0.0,"0.3616147041320801,0.24326187372207642,0.03173667564988136","0.38699519634246826,0.22213926911354065,0.4818737506866455","0.2728644013404846,0.22746208310127258,0.1663949191570282","0.4268549978733063,0.550948441028595,0.557054877281189","0.5310472846031189,0.6311700344085693,-0.21134772896766663","0.5855250358581543,0.46325424313545227,-1.320823311805725","0.42957139015197754,1.4447076320648193,0.24820561707019806","0.42957139015197754,1.4447076320648193,0.24820561707019806"
0.0,0.0,"0.35845455527305603,0.23484791815280914,-0.08220376819372177","0.3921971917152405,0.21488657593727112,0.36289268732070923","0.27687302231788635,0.22286556661128998,0.17521443963050842","0.43528956174850464,0.5440080761909485,0.47317472100257874","0.5336493849754333,0.6406382918357849,-0.14969393610954285","0.58070307970047,0.4350781738758087,-1.0372587442398071","0.43498101830482483,1.438199520111084,0.18915808200836182","0.43498101830482483,1.438199520111084,0.18915808200836182"
